Category,Disease,Pathogen,Afflict
BACTERIAL DISEASES,Bacterial leaf spot,Pseudomonas cichorii(Swingle 1925) Stapp 1928,African Daisy
BACTERIAL DISEASES,Southern wilt,"Ralstonia solanacearum(Smith 1896) Yabuuchi et al. 1996,comb. nov.=Pseudomonas solanacearum(Smith 1896) Smith 1914",African Daisy
FUNGAL DISEASES,Ascochyta leaf spot,Ascochyta doroniciAllesch.,African Daisy
FUNGAL DISEASES,Alternaria leaf spot,"Alternaria alternata(Fr.:Fr.) Keissl.
A. dauci(Kühn) Groves & Skolko
A. gerberaeRabbe et al.",African Daisy
FUNGAL DISEASES,Black root rot,"Thielaviopsis basicola(Berk. & Broome) Ferraris
Chalara elegansNag Raj & Kendr. [synanamorph]",African Daisy
FUNGAL DISEASES,Botrytis blight,Botrytis cinereaPers.:Fr.,African Daisy
FUNGAL DISEASES,Cercospora leaf spot,Cercospora gerberaeChupp & Viegas,African Daisy
FUNGAL DISEASES,Downy mildew,Plasmoparasp.,African Daisy
FUNGAL DISEASES,Fusarium crown rot,Fusarium solani(Mart.) Sacc.,African Daisy
FUNGAL DISEASES,Fusarium root rot,Fusarium oxysporumSchlechtend.:Fr.,African Daisy
FUNGAL DISEASES,Fusarium wilt,Fusarium oxysporumSchlechtend.:Fr.,African Daisy
FUNGAL DISEASES,Nectria canker,Nectria haematococcaBerk. & Broome,African Daisy
FUNGAL DISEASES,Phyllosticta leaf spot,Phyllostictasp.,African Daisy
FUNGAL DISEASES,Phytophthora crown and root rot,"Phytophthora cryptogeaPethybr. & Lafferty
PhytophthoraparasiticaDastur",African Daisy
FUNGAL DISEASES,Powdery mildew,"Erysiphe cichoracearumDC
Sphaerothecasp.",African Daisy
FUNGAL DISEASES,Pythium root rot,Pythiumspp.,African Daisy
FUNGAL DISEASES,Rhizoctonia root and crown rot,Rhizoctonia solaniKühn,African Daisy
FUNGAL DISEASES,Rhizopus blight,Rhizopus stolonifer(Ehrenb.:Fr.) Vuill.,African Daisy
FUNGAL DISEASES,Sclerotinia blight,Sclerotinia sclerotiorum(Lib.) deBary,African Daisy
FUNGAL DISEASES,Septoria leaf spot,Septoriasp.,African Daisy
FUNGAL DISEASES,Southern blight,Sclerotium rolfsiiSacc.,African Daisy
FUNGAL DISEASES,Verticillium wilt,Verticillium albo-atrumReinke & Berthier,African Daisy
FUNGAL DISEASES,Web blight,Rhizoctonia solaniKühn,African Daisy
FUNGAL DISEASES,White rust,Albugo tragopogonis(Pers.) S.F. Gray,African Daisy
"NEMATODES, PARASITIC",Foliar nematode,Aphelenchoides fragariae(Ritzema Bos) Christie,African Daisy
"NEMATODES, PARASITIC",Root knot nematodes,"Meloidogyne arenaria(Neal) Chitwood
M. haplaChitwood
M. incognita(Kofoid & White) Chitwood
M. javanica(Treub) Chitwood",African Daisy
"NEMATODES, PARASITIC",Sting nematode,Belonolaimus longicaudatusRau,African Daisy
"NEMATODES, PARASITIC",Stubby root nematode,Paratrichodorus minor(Colbran) Siddiqi,African Daisy
VIRUS AND VIROID DISEASES,Cucumber mosaic,"genusCucumovirus,Cucumber mosac virus(CMV)",African Daisy
VIRUS AND VIROID DISEASES,Impatiens necrotic spot,"genusTospovirus,Impatiens necrotic spot virus(INSV)",African Daisy
VIRUS AND VIROID DISEASES,Spotted wilt,"genusTospovirus,Tomato spotted wilt virus(TSWV)",African Daisy
VIRUS AND VIROID DISEASES,Tobacco mosaic,"genusTobamovirus,Tobacco mosaic virus(TMV)",African Daisy
VIRUS AND VIROID DISEASES,Tobacco ring spot,"genusTobravirus,Tobacco rattle virus(TRV)",African Daisy
PHYTOPLASMAL DISEASES,Yellows,Phytoplasma,African Daisy
PHYTOPLASMAL DISEASES,Yellows,Phytoplasma,African Violet
BACTERIAL DISEASES,Bacterial blight,"ErwiniachrysanthemiBurkholder, McFadden & Dimock",African Violet
BACTERIAL DISEASES,Crown gall,Agrobacteriumtumefaciens(Smith & Townsend) Conn,African Violet
FUNGAL DISEASES,Crown rot,SclerotiumrolfsiiSacc.,African Violet
FUNGAL DISEASES,Cylindrocarpon root rot,Cylindrocarpondestructans(Zinssmeister) Scholten,African Violet
FUNGAL DISEASES,Fusarium root rot,Fusarium solani(Mart.) Sacc.,African Violet
FUNGAL DISEASES,Gray mold,Botrytis cinereaPers. ex Fr.,African Violet
FUNGAL DISEASES,Leaf spot,"Alternariasp. Nees, nom. cons.
Corynespora cassiicola(Berk. & M. A. Curtis) C. T. Wei",African Violet
FUNGAL DISEASES,Phytophthora root and crown rot,"Phytophthora nicotianaeBreda de Haan var.parasitica(Dast.) Waterh.
Phytophthora nicotianaeDastur var.nicotianae(Breda deHaan) Tucker
Phytophthora cryptogeaPeth. & Laff.",African Violet
FUNGAL DISEASES,Powdery mildew,"Oidiumsp. Link, nom. cons.",African Violet
FUNGAL DISEASES,Pythium root rot,"Pythiumsp. Pringsh., nom. cons.",African Violet
FUNGAL DISEASES,Rhizoctonia root and crown rot,Rhizoctoniasp. D.C.,African Violet
VIRUS DISEASES,Leaf etch,Impatiens necrotic spot virus,African Violet
VIRUS DISEASES,Mosaic,Anemone mosaic virus,African Violet
"NEMATODES, PARASITIC",Foliar nematode,"Aphelenchoidesfragariae(Ritzema Bos) Christie
Aphelenchoidesritzemabosi(Schwartz) Steiner & Buhrer",African Violet
"NEMATODES, PARASITIC",Nematodes,"Criconemasp. Hofmänner & Menzel
Helicotylenchussp. Steiner
Pratylenchus pratensisFilipjev
Paratylenchus projectusMicoletzky
Rotylenchus brachyurusFilipjev
Scutellonema brachyurumAndrassy
Tylenchorynchussp. Cobb",African Violet
"NEMATODES, PARASITIC",Root knot,"Meloidogyne arenaria(Neal) Chitwood
Meloidogyne haplaChitwood
Meloidogyne javanica(Treub) Chitwood
Meloidogyne incognita(Kofoid & White) Chitwood",African Violet
MISCELLANEOUS DISEASES AND DISORDERS,Marginal leaf burn,Overfertilization,African Violet
MISCELLANEOUS DISEASES AND DISORDERS,Ring spot,Irrigation water temperature much above or below leaf temperature applied to the leaf surface,African Violet
MISCELLANEOUS DISEASES AND DISORDERS,Ring spot,Irrigation water temperature much above or below leaf temperature applied to the leaf surface,Alfalfa
BACTERIA AND PHYTOPLASMAS,Alfalfa witches’-broom,"‘CandidatusPhytoplasma asteris’
‘CandidatusPhytoplasma aurantifolia’
‘CandidatusPhytoplasma fraxini’",Alfalfa
BACTERIA AND PHYTOPLASMAS,Australian lucerne yellows,"‘CandidatusPhytoplasma aurantifolia’
‘CandidatusPhytoplasma australiense’",Alfalfa
BACTERIA AND PHYTOPLASMAS,Bacterial leaf spot,Xanthomonas alfalfaesubsp.alfalfae(ex Riker et al. 1935) Schaad et al. 2007(syn.Xanthomonas campestrispv.alfalfae(Riker et al.) Dye),Alfalfa
BACTERIA AND PHYTOPLASMAS,Bacterial stem blight,Pseudomonas syringaepv.syringaevan Hall,Alfalfa
BACTERIA AND PHYTOPLASMAS,Bacterial wilt,Clavibacter michiganensissubsp.insidiosus(McCulloch) Davis et al.(syn.Clavibacter michiganensesubsp.insidiosum(McCull.) Davis et al.),Alfalfa
BACTERIA AND PHYTOPLASMAS,Crown gall,Agrobacterium tumefaciens(Smith & Townsend) Conn,Alfalfa
BACTERIA AND PHYTOPLASMAS,Dwarf,Xylella fastidiosasubsp.fastidiosaWells et al. 1987,Alfalfa
BACTERIA AND PHYTOPLASMAS,Sprout rot,"Dickeyaspecies(syn.Erwinia chrysanthemiBurkholder et al. 1953)(syn.Erwinia herbicola(Löhnis 1911) Dye 1964)
Pantoea agglomerans(Ewing and Fife 1972) Gavini et al. 1989",Alfalfa
FUNGI,Acrocalymma root and crown rot,"Acrocalymma medicaginisAlcorn & J. A. G. Irwin
Massarina walkeriShoemaker, C. E. Babc. & J. A. G. Irwin",Alfalfa
FUNGI,Anthracnose,"Colletotrichum trifoliiBain
Colletotrichum destructivumO’Gara(syn.Colletotrichum dematiumf. sp.truncatum(Schwein.) Arx)
Colletotrichum gloeosporioides(Penz.) Penz. & Sacc.
Colletotrichum truncatum(Schwein.) Andrus & W. D. Moore",Alfalfa
FUNGI,Blackpatch,Rhizoctonia leguminicolaGough & E. S. Elliott,Alfalfa
FUNGI,Blossom blight (crown rot and stem rot),"Botrytis cinereaPers.:Fr
Sclerotinia sclerotiorum(Lib.) de Bary",Alfalfa
FUNGI,Brown root rot,Phoma sclerotioidesPreuss ex Sacc.(syn.Plenodomus melilotiDearn. & Sanford),Alfalfa
FUNGI,Charcoal rot,Macrophomina phaseolina(Tassi) Goid.,Alfalfa
FUNGI,Common leaf spot,Pseudopeziza medicaginis(Lib.) Sacc.,Alfalfa
FUNGI,Corky root rot,Xylariasp.,Alfalfa
FUNGI,Crown and root rot complex,"Fusarium oxysporumSchltdl.
Fusarium solani(Mart.) Sacc.",Alfalfa
FUNGI,Crown wart,Physoderma alfalfae(Pat. & Lagerh.) Karling,Alfalfa
