,level,parent,name,q,eppo,hosts,hosts_ix,corr_deseases
0,2,551,Basidiomycota,Q174698,1BASIP,[],[],"[[""witch's broom"", ""Q755981""]]"
1,4,554,Peronosporales,Q621829,1PEROO,[],[],"[[""downy mildew"", ""Q1394849""]]"
2,8,560,Phoma,Q2066891,1PHOMG,[],[],"[[""black wood-vessel disease"", ""Q3382633""], [""Phoma blight"", ""Q65306828""]]"
3,7,566,Scolytinae,Q720458,1SCOLS,[],[],"[[""Bark beetle infestation in Europe"", ""Q109019501""]]"
4,5,568,Pucciniales,Q1130524,1UREDO,[],[],"[[""rust"", ""Q4273292""]]"
5,9,576,Apple chlorotic leafspot virus,Q4781267,ACLSV0,"[[""Crataegus monogyna"", ""Q161511"", ""CSCMO""], [""Prunus cerasoides"", ""Q150149"", ""PRNCS""], [""Prunus cerasus"", ""Q131517"", ""PRNCE""], [""Prunus persica"", ""Q13189"", ""PRNPS""], [""Prunus domestica"", ""Q44120"", ""PRNDO""], [""Pyrus pyrifolia"", ""Q838963"", ""PYUPY""], [""Malus sieversii"", ""Q728769"", ""MABSI""], [""Malus x platycarpa"", ""MABPL""], [""Prunus cerasifera"", ""Q146951"", ""PRNCF""], [""Chaenomeles japonica"", ""Q158037"", ""CNMJA""], [""Crataegus pinnatifida"", ""Q1141735"", ""CSCPI""], [""Cydonia oblonga"", ""Q43300"", ""CYDOB""], [""Prunus dulcis"", ""Q39918"", ""PRNDU""], [""Eriobotrya japonica"", ""Q41505"", ""EIOJA""], [""Prunus armeniaca"", ""Q37453"", ""PRNAR""], [""Prunus spinosa"", ""Q129018"", ""PRNSN""], [""Styrax officinalis"", ""Q1281140"", ""STXOF""], [""Malus floribunda"", ""MABFB""], [""Malus coronaria"", ""Q1936759"", ""MABCO""], [""Pyrus betulifolia"", ""Q9281564"", ""PYUBE""], [""Prunus tomentosa"", ""Q627393"", ""PRNTO""], [""Amelanchier canadensis"", ""Q159030"", ""AMECA""], [""Malus x robusta"", ""MABRO""], [""Prunus salicina"", ""Q1250033"", ""PRNSC""], [""Pyrus communis"", ""Q146281"", ""PYUCO""], [""Malus domestica"", ""Q18674606"", ""MABSD""], [""Prunus avium"", ""Q165137"", ""PRNAV""], [""Mespilus germanica"", ""Q146186"", ""MSPGE""]]","[547, 1526, 1521, 1551, 1529, 1603, 1171, 1165, 1522, 507, 549, 647, 1531, 770, 1516, 1558, 1912, 1154, 1153, 1597, 1563, 209, 1167, 1554, 1600, 1169, 1517, 1231]","[[""Q114352465"", ""Q114352465""]]"
6,9,581,Sarocladium strictum,,ACREST,"[[""Zea mays"", ""Q11575"", ""ZEAMX""]]",[2088],"[[""Black bundle disease""]]"
7,7,587,Agrobacterium tumefaciens,Q131472,AGRBTU,"[[""Carya illinoinensis"", ""Q333877"", ""CYAIL""], [""Fuchsia"", ""Q161066"", ""FUCHY""], [""Prunus cerasus"", ""Q131517"", ""PRNCE""], [""Chrysanthemum"", ""Q59882"", ""CHYIN""], [""Prunus persica"", ""Q13189"", ""PRNPS""], [""herbaceous ornamental plants"", ""2ORNH""], [""Brassica oleracea var. italica"", ""Q47722"", ""BRSOK""], [""Prunus domestica"", ""Q44120"", ""PRNDO""], [""Corylus"", ""Q145889"", ""1CYLG""], [""Dahlia pinnata"", ""Q1549236"", ""DAHPI""], [""Poinsettia"", ""Q15711519"", ""EPHPU""], [""Rhododendron"", ""Q189393"", ""RHOPO""], [""Ipomoea batatas"", ""Q37937"", ""IPOBA""], [""Helianthus annuus"", ""Q171497"", ""HELAN""], [""Brassica napus"", ""Q177932"", ""BRSNN""], [""Theobroma cacao"", ""Q42385"", ""THOCA""], [""Vitis vinifera"", ""Q30046"", ""VITVI""], [""Vaccinium"", ""Q5079636"", ""1VACG""], [""Aguacate"", ""Q37153"", ""PEBAM""], [""Primula"", ""Q158974"", ""1PRIG""], [""Camellia sinensis"", ""Q101815"", ""CAHSI""], [""Cineraria"", ""Q2360058"", ""SENCR""], [""Cydonia oblonga"", ""Q43300"", ""CYDOB""], [""Mangifera indica"", ""Q3919027"", ""MNGIN""], [""Brassicaceae"", ""Q156888"", ""1CRUF""], [""Dianthus caryophyllus"", ""Q158984"", ""DINCA""], [""Passiflora edulis"", ""Q156790"", ""PAQED""], [""Prunus dulcis"", ""Q39918"", ""PRNDU""], [""Malus"", ""Q104819"", ""1MABG""], [""Musa x paradisiaca"", ""MUBPA""], [""Rosa"", ""Q34687"", ""1ROSG""], [""Prunus armeniaca"", ""Q37453"", ""PRNAR""], [""Anemone"", ""Q158286"", ""ANMCO""], [""Juglans regia"", ""Q46871"", ""IUGRE""], [""Geranium"", ""Q157211"", ""1GERG""], [""Campanula"", ""Q157069"", ""1CMPG""], [""Beta vulgaris"", ""Q165191"", ""BEAVX""], [""Brassica"", ""Q58677"", ""1BRSG""], [""Asclepias syriaca"", ""Q158295"", ""ASCSY""], [""Medicago sativa"", ""Q156106"", ""MEDSA""], [""Cannabis sativa"", ""Q26726"", ""CNISA""], [""Gossypium hirsutum"", ""Q133481"", ""GOSHI""], [""Kalanchoe"", ""Q312063"", ""1KANG""], [""Humulus lupulus"", ""Q104212"", ""HUMLU""], [""Prunus salicina"", ""Q1250033"", ""PRNSC""], [""Pyrus"", ""Q434"", ""1PYUG""], [""Prunus amygdalus"", ""Q15545507"", ""PRNDU""], [""Mimulus"", ""Q159372"", ""1MIUG""], [""Prunus avium"", ""Q165137"", ""PRNAV""], [""Corylus avellana"", ""Q124969"", ""CYLAV""], [""Daucus carota subsp. sativus"", ""Q11678009"", ""DAUCS""], [], [""Vaccinium"", ""1VACG""]]","[642, 869, 1521, 12, 1551, 100, 324, 1529, 34, 674, 787, 1674, 996, 937, 319, 1939, 2069, 96, 1306, 72, 341, 1790, 647, 1219, 22, 711, 1290, 1531, 58, 1238, 81, 1516, 7, 1005, 45, 15, 281, 9, 255, 1200, 506, 911, 54, 972, 1554, 77, 1531, 61, 1517, 651, 683, 96]","[[""crown gall disease"", ""Q12425880""], [""Crown gall""]]"
8,7,590,Albugo candida,Q625190,ALBUCA,"[[""Brassicaceae"", ""Q156888"", ""1CRUF""]]",[22],"[[""White rust""]]"
9,7,591,Pustula tragopogonis,,ALBUTR,"[[""Helianthus annuus"", ""Q171497"", ""HELAN""]]",[937],"[[""White rust""]]"
