,level,parent,name,q,eppo
0,7,2104,Arrabidaea,Q8204880,1ABDG
1,6,71,Abies,Q25350,1ABIG
2,8,2110,Acer,Q10730504,1ACRG
3,8,2110,Aesculus,Q158752,1AECG
4,8,2114,Allium,Q124307982,1ALLG
5,6,2116,Amaranthaceae,Q155931,1AMAF
6,7,2119,Ananas,Q11284196,1ANHG
7,8,2123,Anemone,Q158286,1ANMG
8,8,2126,Anthurium,Q114566072,1AURG
9,7,2127,Berberis,Q158503,1BEBG
10,7,23,Brassica,Q58677,1BRSG
11,6,31,Chamaecyparis,Q147791,1CHCG
12,7,5,Chenopodioideae,Q1070132,1CHES
13,8,2132,Chrysanthemum,Q59882,1CHYG
14,8,2134,Citrus,Q110369372,1CIDG
15,8,2134,Citroncirus,,1CJCG
16,8,2136,Campanula,Q157069,1CMPG
17,6,31,Cryptomeria,Q12323064,1CMYG
18,8,2140,Chaenomeles,Q157616,1CNMG
19,7,2142,Coffea,Q156354,1COFG
20,6,2131,Asteraceae,Q25400,1COMF
21,7,2144,Capsicum,Q201959,1CPSG
22,8,2146,Caragana,Q849443,1CRAG
23,6,2128,Brassicaceae,Q156888,1CRUF
24,8,2140,Crataegus,Q132557,1CSCG
25,7,2148,Castanea,Q15635070,1CSNG
26,7,2148,Castanopsis,Q1065400,1CSOG
27,8,2150,Cattleya,Q133733,1CTBG
28,8,2140,Cotoneaster,Q5538,1CTTG
29,8,2152,Catharanthus,Q1050790,1CTUG
30,6,2153,Cucurbitaceae,Q8314,1CUCF
31,5,2129,Cupressaceae,Q146037,1CUPF
32,6,31,x Cuprocyparis,,1CUYG
33,6,31,Cupressus,Q146911,1CVBG
34,8,2155,Crocus,Q134006691,1CVOG
35,7,2156,Corylus,Q145889,1CYLG
36,8,2132,Dahlia,Q83631355,1DAHG
37,7,2157,Dianthus,Q119788784,1DING
38,7,2159,Dioscorea,Q71549,1DIUG
39,6,2161,Ericaceae,Q17128757,1ERIF
40,7,23,Erysimum,Q165206,1ERYG
41,8,2164,Eucalyptus,Q30611712,1EUCG
42,8,2165,Festuca,Q157337,1FESG
43,8,2134,Fortunella,Q12483066,1FOLG
44,8,2140,Fragaria,Q745,1FRAG
45,8,2167,Galeopsis,Q61417598,1GAEG
46,7,2169,Geranium,Q157211,1GERG
47,8,2155,Gladiolus,Q5566295,1GLAG
48,8,2172,Gossypium,Q719312,1GOSG
49,6,2118,Poaceae,Q43238,1GRAF
50,7,2174,Heliconia,Q23689005,1HEBG
51,8,2132,Helianthus,Q26949,1HELG
52,8,2176,Hyacinthus,Q125919111,1HYAG
53,7,2178,Hydrangea,Q155997,1HYEG
54,7,2179,Impatiens,Q141672,1IPAG
55,6,31,Juniperus,Q25662,1IUPG
56,7,2181,Kalanchoe,Q312063,1KANG
57,6,2145,Fabaceae,Q44448,1LEGF
