Category,Disease,Disease fullname,Pathogen,Afflict,EPPO code
FUNGAL AND OOMYCETE DISEASES,Black bundle disease,black bundle disease of maize,Sarocladium strictum,Corn (syn. Maize),ACREST
BACTERIA AND PHYTOPLASMAS,Crown gall,Crown gall,Agrobacterium tumefaciens,Alfalfa,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Almond,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Anemone,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Apple,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Avocado,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Bedding Plants,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Beet,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Bellflower,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Blueberry,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Butterfly Flower,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Cacao,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Carnation,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Carrot,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Chrysanthemum,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Cineraria,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Cotton,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Crucifers,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,English (Persian) Walnut,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,European Hazelnut,AGRBTU
VIRUS DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Foliage Plants (House Plants),AGRBTU
VIRUS DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Foliage Plants (House Plants),AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Fuchsia,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Garden Dahlia,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Geranium,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Hemp,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Hop,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Kalanchoë,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Mango,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,"Mimulus, Monkey-Flower",AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Passionfruit,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Peach and Nectarine,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Pecan,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Poinsettia,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Primulas,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Rapeseed = Canola,AGRBTU
BACTERIAL DISEASE,Crown gall,Crown gall,Agrobacterium tumefaciens,Rhododendron,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Rose,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Sunflower and Jerusalem Artichoke,AGRBTU
BACTERIAL DISEASES,Crown gall,Crown gall,Agrobacterium tumefaciens,Sweetpotato,AGRBTU
PARASITIC SEED PLANTS,Crown gall,Crown gall,Agrobacterium tumefaciens,Tea,AGRBTU
FUNGAL DISEASES,White rust,white rust of crucifers,Albugo candida,Mustard,ALBUCA
FUNGAL and OOMYCETE DISEASES,White rust,white rust of salsify,Pustula tragopogonis,Sunflower and Jerusalem Artichoke,ALBUTR
FUNGAL and OOMYCETE DISEASES,White rust,white rust of sunflower,Pustula tragopogonis,Sunflower and Jerusalem Artichoke,ALBUTR
FUNGAL DISEASES,Brown spot,brown spot of tobacco,Alternaria alternata,Tobacco,ALTEAL
FUNGAL DISEASES,Fruit rot,fruit rot of tomato,Alternaria alternata,Mango,ALTEAL
FUNGAL DISEASES,Leaf spot,leaf spot of cotton,Alternaria macrospora,Cotton,ALTEMC
FUNGAL DISEASES,Brown spot,brown spot of passion fruit,Alternaria passiflorae,Passionfruit,ALTEPA
FUNGAL AND OOMYCETE DISEASES,Stackburn,stackburn disease of rice,Alternaria padwickii,Rice,ALTEPD
FUNGAL AND OOMYCETE DISEASES,Purple blotch,purple blotch,Alternaria porri,Onion and Garlic,ALTEPO
FUNGAL AND OOMYCETE DISEASES,Purple blotch,purple blotch of eggplant,Alternaria porri,Onion and Garlic,ALTEPO
FUNGAL AND OOMYCETE DISEASES,Purple blotch,purple blotch of leek,Alternaria porri,Onion and Garlic,ALTEPO
FUNGAL AND OOMYCETE DISEASES,Purple blotch,purple blotch of onion,Alternaria porri,Onion and Garlic,ALTEPO
FUNGAL and OOMYCETE DISEASES,Black rot,black rot of carrot,Alternaria radicina,Carrot,ALTERA
FUNGAL DISEASES,Early blight,early blight of eggplant,Alternaria solani,Potato,ALTESO
FUNGAL DISEASES,Early blight,early blight of potato,Alternaria solani,Potato,ALTESO
FUNGAL DISEASES,Early blight,early blight of tomato,Alternaria solani,Potato,ALTESO
FUNGAL DISEASES,Black root,black root of radish,Aphanomyces raphani,Mustard,APHARA
FUNGAL DISEASES,Black root,black root of radish,Aphanomyces raphani,Rapeseed = Canola,APHARA
FUNGAL DISEASES,Leaf spot,leaf spot of barley,Ascochyta hordei,Barley,ASCOHD
FUNGAL DISEASES,Leaf spot,leaf spot of papaya,Asperisporium caricae,Papaya,ASPRCA
VIRUS DISEASES,Bean mild mosaic,bean mild mosaic,Bean mild mosaic virus,Bean,BMMV00
VIRUS DISEASES,Bean mild mosaic,bean mild mosaic,Bean mild mosaic virus,Soybean,BMMV00
FUNGAL DISEASES,White rot,white rot of apple,Botryosphaeria dothidea,Apple,BOTSDO
FUNGAL DISEASES,Dieback,dieback of oak,Botryosphaeria quercuum,Mango,BOTSQU
FUNGAL DISEASES,Downy mildew,downy mildew of lettuce,Bremia lactucae,Cineraria,BREMLA
FUNGAL AND OOMYCETE DISEASES,Downy mildew,downy mildew of lettuce,Bremia lactucae,Lettuce,BREMLA
PARASITIC SEED PLANTS,Damping-off,Damping-off of tea,Calonectria kyotensis,Tea,CALOKY
FUNGAL AND OOMYCETE DISEASES,Black rot,black rot of sweet potato,Ceratocystis fimbriata,Lettuce,CERAFI
MISCELLANEOUS DISEASES AND DISORDERS,Wilt,wilt of cocoa,Ceratocystis fimbriata,Coffee,CERAFI
MISCELLANEOUS DISEASES AND DISORDERS,Canker,canker of coffee,Ceratocystis fimbriata,Coffee,CERAFI
MISCELLANEOUS DISEASES AND DISORDERS,Canker,canker of cocoa,Ceratocystis fimbriata,Coffee,CERAFI
FUNGAL DISEASES,Pineapple disease,pineapple disease of sugarcane,Thielaviopsis paradoxa,Sugarcane,CERAPA
FUNGAL DISEASES,Dutch elm disease,dutch elm disease,Ophiostoma ulmi,Elm,CERAUL
FUNGAL DISEASES,Early blight,early blight of celery,Cercospora apii,Celery,CERCAP
MISCELLANEOUS DISEASES AND DISORDERS,Brown eye spot,brown eye spot of coffee,Cercospora coffeicola,Coffee,CERCCO
FUNGAL DISEASES,Brown spot,brown spot of sugarcane,Cercospora longipes,Sugarcane,CERCLO
FUNGAL DISEASES,Barn spot,barn spot of tobacco,Cercospora nicotianae,Tobacco,CERCNI
FUNGAL AND OOMYCETE DISEASES,Narrow brown leaf spot,Narrow brown leaf spot of rice,Cercospora janseana,Rice,CERCOR
FUNGAL DISEASES,Summer black stem,summer black stem of clover,Cercospora zebrina,Red Clover,CERCZE
PARASITIC SEED PLANTS,Bird's eye spot,bird's eye spot of tea,Pseudocercospora theae,Tea,CERSTH
FUNGAL DISEASES,Ergot,ergot of grasses,Claviceps fusiformis,Pearl Millet,CLAVFU
FUNGAL DISEASES,Ergot,ergot of millet,Claviceps fusiformis,Pearl Millet,CLAVFU
FUNGAL AND OOMYCETE DISEASES,Ergot,ergot of maize,Claviceps gigantea,Corn (syn. Maize),CLAVGI
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Ergot,ergot of pearl millet,Claviceps microcephala,Wheat,CLAVMI
FUNGAL DISEASES,Ergot,ergot of cereals,Claviceps purpurea,Barley,CLAVPU
FUNGAL DISEASES,Ergot,ergot of cereals,Claviceps purpurea,Oats,CLAVPU
FUNGAL DISEASES,Ergot,ergot of cereals,Claviceps purpurea,Rye,CLAVPU
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Ergot,ergot of cereals,Claviceps purpurea,Wheat,CLAVPU
FUNGAL DISEASES,Ergot,ergot of rye,Claviceps purpurea,Barley,CLAVPU
FUNGAL DISEASES,Ergot,ergot of rye,Claviceps purpurea,Oats,CLAVPU
FUNGAL DISEASES,Ergot,ergot of rye,Claviceps purpurea,Rye,CLAVPU
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Ergot,ergot of rye,Claviceps purpurea,Wheat,CLAVPU
FUNGAL DISEASES,Leaf spot,leaf spot of maize,Bipolaris maydis,Geranium,COCHHE
FUNGAL DISEASES,Leaf spot,leaf spot of maize,Curvularia lunata,Mango,COCHLU
FUNGAL DISEASES,Seedling blight,seedling blight of sugarcane,Curvularia lunata,Sugarcane,COCHLU
FUNGAL AND OOMYCETE DISEASES,Brown spot,brown spot of rice,Bipolaris oryzae,Rice,COCHMI
FUNGAL DISEASES,Root rot,root rot of cereals,Bipolaris sorokiniana,Oats,COCHSA
FUNGAL DISEASES,Seedling blight,seedling blight of cereals,Bipolaris sorokiniana,Oats,COCHSA
FUNGAL DISEASES,Spot blotch,spot blotch of barley,Bipolaris sorokiniana,Barley,COCHSA
VIRUS DISEASES,Spot blotch,spot blotch of barley,Bipolaris sorokiniana,Cultivated Wild Rice,COCHSA
FUNGAL DISEASES,Spot blotch,spot blotch of barley,Bipolaris sorokiniana,Rye,COCHSA
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Spot blotch,spot blotch of barley,Bipolaris sorokiniana,Wheat,COCHSA
FUNGAL DISEASES,Spot blotch,spot blotch of wheat,Bipolaris sorokiniana,Barley,COCHSA
VIRUS DISEASES,Spot blotch,spot blotch of wheat,Bipolaris sorokiniana,Cultivated Wild Rice,COCHSA
FUNGAL DISEASES,Spot blotch,spot blotch of wheat,Bipolaris sorokiniana,Rye,COCHSA
FUNGAL AND FUNGAL-LIKE ORGANISM DISEASES,Spot blotch,spot blotch of wheat,Bipolaris sorokiniana,Wheat,COCHSA
FUNGAL DISEASES,Leaf spot,leaf spot of millet,Bipolaris setariae,Geranium,COCHSE
FUNGAL DISEASES,Victoria blight,victoria blight of oat,Bipolaris victoriae,Oats,COCHVI
